Student Name,Gender,Class,Roll Number,Age,Father Name,Mother Name,Contact Number,Admission Number,Aadhaar Number,APPAR Number,Blood Group
Rajesh Sharma,Boy,PG,1,4,Mr. Kabir Sharma,Mrs. Myra Sharma,6593579964,10001,398234554803,197656808122,O+
Meera Yadav,Girl,PG,2,3,Mr. Aarav Yadav,Mrs. Neha Yadav,9134795892,10002,751792431278,463501734053,A+
Saanvi Mukherjee,Girl,PG,3,4,Mr. Aditya Mukherjee,Mrs. Pooja Mukherjee,6501051513,10003,946783378555,218719074911,A-
Aadhya Mehta,Girl,PG,4,4,Mr. Kabir Mehta,Mrs. Zara Mehta,6788158130,10004,495190058970,329707038048,O-
Pooja Sharma,Girl,PG,5,3,Mr. Aarav Sharma,Mrs. Priya Sharma,7682734909,10005,912289542638,896114831736,A+
Vikram Bose,Boy,PG,6,4,Mr. Vihaan Bose,Mrs. Kiara Bose,9391552145,10006,445227471629,399961636447,B-
Anya Mishra,Girl,PG,7,4,Mr. Rahul Mishra,Mrs. Priya Mishra,8686486823,10007,943910425117,983311384188,AB+
Neha Reddy,Girl,PG,8,3,Mr. Karan Reddy,Mrs. Swati Reddy,7382468105,10008,616093283669,267905259946,O+
Sai Pandey,Boy,PG,9,3,Mr. Rohan Pandey,Mrs. Priya Pandey,8709168241,10009,414851602225,182267539522,A+
Zara Jain,Girl,PG,10,3,Mr. Karan Jain,Mrs. Meera Jain,9155987208,10010,948193294504,629786032403,A+
Neha Ghosh,Girl,PG,11,4,Mr. Aarav Ghosh,Mrs. Priya Ghosh,8952176501,10011,632419347944,422628312591,O+
Rajesh Mukherjee,Boy,PG,12,4,Mr. Vihaan Mukherjee,Mrs. Pooja Mukherjee,6306626743,10012,951371935656,662788247677,O-
Priya Kumar,Girl,PG,13,4,Mr. Aditya Kumar,Mrs. Nisha Kumar,6918462347,10013,361119784672,857785568262,O+
Aarav Pandey,Boy,PG,14,3,Mr. Rohan Pandey,Mrs. Myra Pandey,8176922409,10014,390705671527,125111526029,A-
Aditya Reddy,Boy,PG,15,4,Mr. Aditya Reddy,Mrs. Priya Reddy,6220354807,10015,426655308487,293977344111,B+
Rahul Mishra,Boy,PG,16,4,Mr. Dev Mishra,Mrs. Riya Mishra,6207034777,10016,474739291717,371497035113,O+
Nisha Bose,Girl,PG,17,4,Mr. Vikram Bose,Mrs. Nisha Bose,9494157264,10017,282946700958,921318567637,O+
Meera Gupta,Girl,PG,18,3,Mr. Kabir Gupta,Mrs. Kavya Gupta,9566193725,10018,178509692934,147030546218,O-
Vikram Reddy,Boy,PG,19,4,Mr. Rishi Reddy,Mrs. Myra Reddy,9932586554,10019,157447844608,103042467651,AB+
Kunal Bose,Boy,PG,20,4,Mr. Kabir Bose,Mrs. Riya Bose,6601466023,10020,591968213246,488093699528,A-
Kiara Patel,Girl,PG,21,3,Mr. Aarav Patel,Mrs. Swati Patel,9965431544,10021,784539433052,858443448173,AB+
Saanvi Patel,Girl,PG,22,4,Mr. Aditya Patel,Mrs. Kavya Patel,8584480948,10022,870268004055,700263750419,A-
Aarav Ghosh,Boy,PG,23,3,Mr. Rohan Ghosh,Mrs. Kiara Ghosh,6101367283,10023,761792173966,729926089912,O-
Aarav Yadav,Boy,PG,24,4,Mr. Krishna Yadav,Mrs. Tara Yadav,8616608548,10024,956486685000,179445650236,A+
Karan Reddy,Boy,PG,25,3,Mr. Dev Reddy,Mrs. Nisha Reddy,9502965163,10025,779314226159,458711790313,B+
Dhruv Jain,Boy,PG,26,3,Mr. Dev Jain,Mrs. Tara Jain,7491852329,10026,307403220184,718385848463,B-
Yash Gupta,Boy,PG,27,3,Mr. Dev Gupta,Mrs. Swati Gupta,7138728867,10027,223095191301,520777467994,B+
Vihaan Rao,Boy,PG,28,4,Mr. Surya Rao,Mrs. Aadhya Rao,9374206889,10028,677472521145,430488552531,B+
Krishna Pillai,Boy,PG,29,4,Mr. Rajesh Pillai,Mrs. Aadhya Pillai,7903760540,10029,773831002090,776696072909,AB+
Diya Bose,Girl,PG,30,4,Mr. Rajesh Bose,Mrs. Shruti Bose,7486286087,10030,627586756222,162994898719,O-
Nisha Tiwari,Girl,PG,31,3,Mr. Arjun Tiwari,Mrs. Myra Tiwari,9904861266,10031,453736229303,151603194116,AB+
Ananya Sharma,Girl,PG,32,3,Mr. Rishi Sharma,Mrs. Kavya Sharma,9846485721,10032,349405485927,731193221807,O+
Anjali Ghosh,Girl,PG,33,4,Mr. Aarav Ghosh,Mrs. Kavya Ghosh,8738605790,10033,471258419356,961205195141,B-
Shruti Iyer,Girl,PG,34,3,Mr. Krishna Iyer,Mrs. Nisha Iyer,8907020457,10034,193135853337,930217542390,AB-
Aditi Pillai,Girl,PG,35,3,Mr. Kunal Pillai,Mrs. Anya Pillai,8909936382,10035,828843342727,155860069475,B-
Saanvi Chauhan,Girl,PG,36,4,Mr. Vikram Chauhan,Mrs. Meera Chauhan,6627037662,10036,242456497546,883655060950,AB-
Kavya Patel,Girl,PG,37,4,Mr. Rahul Patel,Mrs. Shruti Patel,7158373309,10037,703275200844,328438638759,AB-
Karan Jain,Boy,PG,38,4,Mr. Karan Jain,Mrs. Aditi Jain,6570275967,10038,493370617948,459330713247,B-
Dhruv Jain,Boy,PG,39,4,Mr. Dev Jain,Mrs. Swati Jain,8761390407,10039,695009897590,151454632787,B-
Yash Mukherjee,Boy,PG,40,4,Mr. Rishi Mukherjee,Mrs. Aditi Mukherjee,9995146816,10040,409986120076,196747957260,O+
Amit Kumar,Boy,PG,41,4,Mr. Kunal Kumar,Mrs. Pooja Kumar,6204955328,10041,109988767001,343937526755,A+
Vihaan Nair,Boy,PG,42,3,Mr. Aditya Nair,Mrs. Swati Nair,7536172249,10042,880096405371,716134108441,B-
Shruti Bose,Girl,PG,43,4,Mr. Aditya Bose,Mrs. Kiara Bose,9928231079,10043,818005189306,900359521569,B+
Saanvi Mukherjee,Girl,PG,44,4,Mr. Vihaan Mukherjee,Mrs. Kavya Mukherjee,6969867304,10044,600060561448,942485591163,B+
Saanvi Das,Girl,PG,45,4,Mr. Rajesh Das,Mrs. Aditi Das,7500173864,10045,650335937983,920725689918,B+
Vikram Pandey,Boy,PG,46,4,Mr. Rajesh Pandey,Mrs. Nisha Pandey,7569986991,10046,405026157537,353993390437,A+
Neha Iyer,Girl,PG,47,3,Mr. Karan Iyer,Mrs. Aadhya Iyer,9356276516,10047,362090621050,820844301684,AB+
Neha Dubey,Girl,PG,48,4,Mr. Rohan Dubey,Mrs. Aditi Dubey,9359523049,10048,811413202213,526383785665,O+
Rahul Bose,Boy,PG,49,4,Mr. Rahul Bose,Mrs. Aadhya Bose,6366351478,10049,963535837269,109365061105,AB-
Rajesh Patel,Boy,PG,50,3,Mr. Sai Patel,Mrs. Priya Patel,6535277798,10050,968175573879,643207902118,B+
Karan Verma,Boy,LKG,1,5,Mr. Kabir Verma,Mrs. Priya Verma,8606189665,10051,274809157979,565430826548,O+
